Output_Category_Name,Output_Standard_Code,Output_Standard_Name,Output_Indicator_Code,Output_Indicator_Name,Intermediate_Output_Indicator,SOAlign,Reporting_level,Ouptut or Other Output,APR_Include,Data_source,No_of_countries,No_of_measurements,Target,Actual,Progress
Assets created,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Kilometers of drainage canals and flood protection dykes built/rehabilitated,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,2,4,102,100,98%
Assets created,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Kilometres of irrigation canals,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,117,117,100%
Assets created,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Number of community infrastructure,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,4,5,3203,3021,94%
Assets created,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Number of culverts and drainage,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,43,41,95%
Assets created,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Number of Household and School Gardens,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,5,177,3540%
Assets created,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Number of community infrastructure,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,2,20,2,10%
Assets created,2.3,School-age children and adolescents have access to school-based health and nutrition packages,D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Number of Household and School Gardens,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,72,124,172%
Assets created,2.3,School-age children and adolescents have access to school-based health and nutrition packages,D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure","Number of water points (ponds, shallow wells, weirs, dams) constructed or rehabilitated",FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,2,991,300,30%
Assets created,2.3,School-age children and adolescents have access to school-based health and nutrition packages,D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure","Total annual capacity, installed, restored or maintained for energy generation or storage",FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,0,0,N/A
Assets created,2.3,School-age children and adolescents have access to school-based health and nutrition packages,D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Number of community infrastructure,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,3,3,100%
Assets created,2.3,School-age children and adolescents have access to school-based health and nutrition packages,D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext",Number of Household and School Gardens,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,550,542,99%
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Hectares of community gardens and orchards established/rehabilitated,TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,12,16,2499,2510,100%
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Number of Household and School Gardens,TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,11,16,109179,74203,68%
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure","Number of water points (ponds, shallow wells, weirs, dams) constructed or rehabilitated",TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,21,59,4120510,3485030,85%
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure","Total annual capacity, installed, restored or maintained for energy generation or storage",TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,2,2,120,120,100%
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure","Total number of climate adaptation assets built, restored or maintained",TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,17,49,1787068,1107492,62%
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Total number of hectares of areas brought under restoration/improved ecosystems and/or climate-resilient management practices,TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,936,1157,124%
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Total tonnes of fish stock brought under sustainable management practices,TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,2,2,1,2,151%
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Total value of physical assets made more resilient to the effects of climate change and/or more able to reduce GHG emissions,TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,2,2,10000,1210000,12100%
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Hectares of land forested,TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,9,9,3023,2317,77%
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Hectares of land rehabilitated/benefiting from irrigation infrastructures,TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,17,24,226493,231351,102%
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Kilometeres of feeder roads and trails constructed/repaired,TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,10,10,936,987,105%
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Kilometers of drainage canals and flood protection dykes built/rehabilitated,TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,7,7,193646,175045,90%
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Kilometres of irrigation canals,TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,9,9,144,125,87%
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Number of bridges constructed/rehabilitated,TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,2,3,3,3,100%
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Number of community infrastructure,TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,11,18,1911,1911,100%
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Number of culverts and drainage,TRUE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,4,4,43,20,47%
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext",Hectares of community gardens and orchards established/rehabilitated,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,1,1,100%
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext",Number of Household and School Gardens,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,0,0,N/A
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext","Number of water points (ponds, shallow wells, weirs, dams) constructed or rehabilitated",FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,2,12656,5137,41%
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext","Total annual capacity, installed, restored or maintained for energy generation or storage",FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,2,0,94,N/A
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext","Total number of climate adaptation assets built, restored or maintained",FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,2,2,100%
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext",Hectares of land forested,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,0,0,N/A
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext",Hectares of land rehabilitated/benefiting from irrigation infrastructures,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,3,29,29,100%
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext",Number of community infrastructure,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,8,8,100%
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Hectares of community gardens and orchards established/rehabilitated,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,5,10,1159,1345,116%
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Number of Household and School Gardens,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,4,5,16440,16942,103%
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure","Number of water points (ponds, shallow wells, weirs, dams) constructed or rehabilitated",FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,11,58,3146570,3509101,112%
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure","Total annual capacity, installed, restored or maintained for energy generation or storage",FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,2,2,316,312,99%
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure","Total number of climate adaptation assets built, restored or maintained",FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,7,11,15815,15345,97%
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Total number of hectares of areas brought under restoration/improved ecosystems and/or climate-resilient management practices,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,50000,45000,90%
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Total tonnes of fish stock brought under sustainable management practices,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,3,3,46,52,113%
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Hectares of land forested,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,7,8,1608,1649,103%
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Hectares of land rehabilitated/benefiting from irrigation infrastructures,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,10,40,58210,53736,92%
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Kilometeres of feeder roads and trails constructed/repaired,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,7,7,1355,1605,118%
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Kilometers of drainage canals and flood protection dykes built/rehabilitated,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,6,11,9533,6307,66%
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Kilometres of irrigation canals,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,8,8,457,11930,2609%
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Number of bridges constructed/rehabilitated,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,3,3,28,51,182%
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Number of community infrastructure,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,7,13,356,165,46%
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Number of culverts and drainage,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,2,2,39,34,88%
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext",Hectares of community gardens and orchards established/rehabilitated,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,29,29,100%
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext","Number of water points (ponds, shallow wells, weirs, dams) constructed or rehabilitated",FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,5,320,320,100%
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext",Total number of hectares of areas brought under restoration/improved ecosystems and/or climate-resilient management practices,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,0,0,N/A
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext",Hectares of land forested,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,90,90,100%
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext",Hectares of land rehabilitated/benefiting from irrigation infrastructures,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,8,9833,9831,100%
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext",Kilometers of drainage canals and flood protection dykes built/rehabilitated,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,9250,9227,100%
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext",Kilometres of feeder roads and trails constructed/repaired,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,0,0,N/A
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.1.2,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure in emergencycontext",Number of community infrastructure,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,4,194,194,100%
Assets created,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Hectares of community gardens and orchards established/rehabilitated,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,2,4,79,70,90%
Assets created,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Number of Household and School Gardens,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,2,3,9329,10878,117%
Assets created,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure","Number of water points (ponds, shallow wells, weirs, dams) constructed or rehabilitated",FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,2,2,525,520,99%
Assets created,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure","Total number of climate adaptation assets built, restored or maintained",FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,3,190,211,111%
Assets created,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Kilometeres of feeder roads and trails constructed/repaired,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,165,169,102%
Assets created,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Kilometers of drainage canals and flood protection dykes built/rehabilitated,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,220,223,101%
Assets created,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Number of community infrastructure,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,2,3,813,795,98%
Assets created,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Hectares of community gardens and orchards established/rehabilitated,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,2,2,143,153,107%
Assets created,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Number of Household and School Gardens,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,2,272,287,106%
Assets created,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure","Number of water points (ponds, shallow wells, weirs, dams) constructed or rehabilitated",FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,2,8,219,224,102%
Assets created,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure","Total annual capacity, installed, restored or maintained for energy generation or storage",FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,2,1,1,101%
Assets created,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure","Total number of climate adaptation assets built, restored or maintained",FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,4,14,14,100%
Assets created,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Total value of physical assets made more resilient to the effects of climate change and/or more able to reduce GHG emissions,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,504000,504000,100%
Assets created,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Hectares of land forested,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,40,46,112%
Assets created,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Kilometeres of feeder roads and trails constructed/repaired,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,164,179,109%
Assets created,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Kilometers of drainage canals and flood protection dykes built/rehabilitated,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,2,50,53,105%
Assets created,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Kilometres of irrigation canals,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,1,91,99,109%
Assets created,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Number of bridges constructed/rehabilitated,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,1,2,5,5,100%
Assets created,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",D.1.1,"Number of assets built, restored or maintained by targeted households and communities, by type and unit of measure",Number of community infrastructure,FALSE,Intermediate,Other Output,APR & ACR,Otheroutput_Detail,2,2,6,6,100%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.2,Number of people provided with direct access to energy products or services,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,3,638,638,100%
Assets created,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",D.5,Number of people provided with direct access to energy products or services in emergency context,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,3,3,8000,0,0%
Assets created,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",D.2,Number of people provided with direct access to energy products or services,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,116,116,100%
Assets created,2.3,School-age children and adolescents have access to school-based health and nutrition packages,D.2,Number of people provided with direct access to energy products or services,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,2,86000,84700,98%
Assets created,3.1,People and communities have access to productive assets to better cope with shocks and stressors,D.2,Number of people provided with direct access to energy products or services,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,9,16,2569496,1357622,53%
Assets created,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",D.2,Number of people provided with direct access to energy products or services,N/A,TRUE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,4,7,97120,121051,125%
Assets created,4.1,"National actors have increased capacity and knowledge to enhance policies, strategies, processes and programmes, contributing to the achievement of zero hunger and other SDGs",D.2,Number of people provided with direct access to energy products or services,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,1,1,3000,3327,111%
Capacity development and technical support provided,1.1,"Food insecure and crisis-affected populations have access to nutritious food and cash-based assistance, restored assets and services to meet their urgent needs",C.8,Value of assets and infrastructure handed over to national stakeholders as part of WFP capacity strengthening support,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,5,5,1583067,408925,26%
Capacity development and technical support provided,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",C.8,Value of assets and infrastructure handed over to national stakeholders as part of WFP capacity strengthening support,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,5,6,1513755,1583513,105%
Capacity development and technical support provided,2.3,School-age children and adolescents have access to school-based health and nutrition packages,C.8,Value of assets and infrastructure handed over to national stakeholders as part of WFP capacity strengthening support,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,5,5,806143,1003022,124%
Capacity development and technical support provided,3.1,People and communities have access to productive assets to better cope with shocks and stressors,C.8,Value of assets and infrastructure handed over to national stakeholders as part of WFP capacity strengthening support,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,2,19399,19399,100%
Capacity development and technical support provided,3.2,"People and communities have increased skills, capacities and access to financial, energy and climate services for climate-adapted and sustainable livelihoods",C.8,Value of assets and infrastructure handed over to national stakeholders as part of WFP capacity strengthening support,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,2,2,1585000,1535000,97%
Capacity development and technical support provided,3.3,"Smallholder farmers and value chain actors have increased capacity to produce and aggregate marketable surpluses, reduce post-harvest losses, access markets and leverage linkages to schools",C.8,Value of assets and infrastructure handed over to national stakeholders as part of WFP capacity strengthening support,N/A,FALSE,Umbrella,Other Output,APR & ACR,Otheroutput_Detail,6,6,4488973,4200615,94%
